tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,instrImg.started,instrImg.stopped,corrAns,colorName,trialCircle.started,trialCircle.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,trialText.started,trialText.stopped,trialCount.started,trialCount.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,51.88367080001626,None,51.88367080001626,None,space,blue,54.260450200061314,None,space,1,0.5343687999993563,54.260450200061314,None,54.260450200061314,None,54.01387889997568,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,1,0,1,0,,,,,space,blue,55.07771280000452,None,space,1,0.28516560001298785,55.07771280000452,None,55.07771280000452,None,54.83173800003715,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,2,0,2,0,,,,,space,blue,55.62667929998133,None,space,1,0.3120109000010416,55.62667929998133,None,55.62667929998133,None,55.3940428000642,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,3,0,3,0,,,,,space,blue,56.243038399959914,None,space,1,0.319753700052388,56.243038399959914,None,56.243038399959914,None,56.00609210005496,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,4,0,4,0,,,,,None,orange,56.859817999997176,58.60933590005152,None,1,,56.859817999997176,58.60933590005152,56.859817999997176,58.60933590005152,56.61888439999893,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,5,0,5,0,,,,,space,blue,58.892953200032935,None,space,1,0.27776879991870373,58.892953200032935,None,58.892953200032935,None,58.64691680006217,58.64691680006217,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,6,0,6,0,,,,,space,blue,59.442553500062786,None,space,1,0.2569502000696957,59.442553500062786,None,59.442553500062786,None,59.20933950005565,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,7,0,7,0,,,,,None,orange,59.99288070003968,None,space,0,0.29035240004304796,59.99288070003968,None,59.99288070003968,None,59.75194350001402,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,8,0,8,0,,,,,space,blue,60.575697700027376,None,space,1,0.4430106000509113,60.575697700027376,None,60.575697700027376,None,60.336658800020814,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,9,0,9,0,,,,,space,blue,61.29317159997299,None,space,1,0.30152869992889464,61.29317159997299,None,61.29317159997299,None,61.05766249995213,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,10,0,10,0,,,,,space,blue,61.875569300027564,None,space,1,0.3351590000092983,61.875569300027564,None,61.875569300027564,None,61.64061750005931,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,11,0,11,0,,,,,None,orange,62.491962200030684,64.2543664999539,None,1,,62.491962200030684,64.2543664999539,62.491962200030684,64.2543664999539,62.24733050004579,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,12,0,12,0,,,,,space,blue,64.54155520000495,None,space,1,0.1097608000272885,64.54155520000495,None,64.54155520000495,None,64.32212210004218,64.32212210004218,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,13,0,13,0,,,,,space,blue,64.92455570003949,None,space,1,0.31864739989396185,64.92455570003949,None,64.92455570003949,None,64.693761200062,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,14,0,14,0,,,,,space,blue,65.52582520002034,None,space,1,0.33294540003407747,65.52582520002034,None,65.52582520002034,None,65.28753910004161,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,15,0,15,0,,,,,space,blue,66.1245986999711,None,space,1,0.32617829996161163,66.1245986999711,None,66.1245986999711,None,65.8884116000263,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,16,0,16,0,,,,,space,blue,66.72429050004575,None,space,1,0.4064366000238806,66.72429050004575,None,66.72429050004575,None,66.48847460001707,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,17,0,17,0,,,,,space,blue,67.40720839996357,None,space,1,0.3397463000146672,67.40720839996357,None,67.40720839996357,None,67.17338349996135,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,18,0,18,0,,,,,None,orange,68.04092100006528,None,None,1,,68.04092100006528,None,68.04092100006528,None,67.80004919995554,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,19,0,19,0,,,,,space,blue,70.05660110001918,69.82189619995188,space,1,0.3221275999676436,70.05660110001918,69.82189619995188,70.05660110001918,69.82189619995188,69.82189619995188,69.82189619995188,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,20,0,20,0,,,,,space,blue,70.67349129996728,None,space,1,0.2978510999819264,70.67349129996728,None,70.67349129996728,None,70.42529839999042,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,21,0,21,0,,,,,space,blue,71.2561026000185,None,space,1,0.3386445000069216,71.2561026000185,None,71.2561026000185,None,71.0116599999601,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,22,0,22,0,,,,,space,blue,71.87325699999928,None,space,1,0.314115000073798,71.87325699999928,None,71.87325699999928,None,71.63514699996449,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
0,0,0,0,23,0,23,0,,,,,None,orange,72.47301760001574,74.2223071999615,None,1,,72.47301760001574,74.2223071999615,72.47301760001574,74.2223071999615,72.23422880005091,None,a,001,2020_Aug_02_2036,goNogoAlpha6,2020.1.3,60.12296348332335,
